,Unnamed: 0,Title,Year,Rating,Rating Count,Label
0,tt0111161,The Shawshank Redemption,1994,9.2,"2,089,382",
1,tt0068646,The Godfather,1972,9.2,"1,433,884",
2,tt0071562,The Godfather: Part II,1974,9.0,"995,997",
3,tt0468569,The Dark Knight,2008,9.0,"2,055,819",
4,tt0050083,12 Angry Men,1957,8.9,"591,688",
5,tt0108052,Schindler's List,1993,8.9,"1,082,960",
6,tt0167260,The Lord of the Rings: The Return of the King,2003,8.9,"1,487,166",
7,tt0110912,Pulp Fiction,1994,8.9,"1,633,178",
8,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,"620,260",
9,tt0137523,Fight Club,1999,8.8,"1,670,480",
10,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"1,503,217",
11,tt0109830,Forrest Gump,1994,8.7,"1,602,217",10000000
12,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"1,047,783",
13,tt1375666,Inception,2010,8.7,"1,830,622",
14,tt0167261,The Lord of the Rings: The Two Towers,2002,8.7,"1,344,714",
15,tt4154796,Avengers: Endgame,2019,8.7,"394,632",
16,tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,"827,820",
17,tt0099685,Goodfellas,1990,8.7,"901,753",
18,tt0133093,The Matrix,1999,8.6,"1,500,481",
19,tt0047478,Seven Samurai,1954,8.6,"282,429",
20,tt0114369,Se7en,1995,8.6,"1,281,150",
21,tt0317248,City of God,2002,8.6,"641,894",
22,tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,"1,117,100",
23,tt0102926,The Silence of the Lambs,1991,8.6,"1,127,802",
24,tt0038650,It's a Wonderful Life,1946,8.6,"355,572",
25,tt0118799,Life Is Beautiful,1997,8.6,"549,956",
26,tt0245429,Spirited Away,2001,8.5,"554,357",
27,tt0120815,Saving Private Ryan,1998,8.5,"1,104,654",
28,tt0114814,The Usual Suspects,1995,8.5,"903,320",7500000
